# Run 1,Run 1,Run 1,Run 1,Run 1
Time (s),Acceleration - x (m/s²),Acceleration - y (m/s²),Acceleration - z (m/s²),Acceleration - resultant (m/s²)
0.000,11.0,5.2,5.7,13.4
0.025,10.8,5.2,6.5,13.6
0.050,10.8,5.2,6.5,13.6
0.075,10.8,5.2,6.5,13.6
0.100,10.9,5.2,6.2,13.5
0.125,10.9,5.2,6.2,13.5
0.150,10.9,5.2,6.2,13.5
0.175,10.9,5.2,6.2,13.5
0.200,10.9,5.2,6.4,13.7
0.225,10.9,5.2,6.4,13.7
0.250,10.9,5.2,6.4,13.7
0.275,10.9,5.2,6.4,13.7
0.300,10.9,5.2,6.2,13.6
0.325,10.9,5.2,6.2,13.6
0.350,10.9,5.2,6.2,13.6
0.375,10.8,5.3,6.0,13.4
0.400,10.8,5.3,6.0,13.4
0.425,10.8,5.3,6.0,13.4
0.450,10.8,5.3,6.0,13.4
0.475,8.8,5.9,5.8,12.1
0.500,8.8,5.9,5.8,12.1
0.525,8.8,5.9,5.8,12.1
0.550,7.1,5.7,6.2,11.0
0.575,7.1,5.7,6.2,11.0
0.600,7.1,5.7,6.2,11.0
0.625,7.1,5.7,6.2,11.0
0.650,6.6,7.0,6.4,11.6
0.675,6.6,7.0,6.4,11.6
0.700,6.6,7.0,6.4,11.6
0.725,6.6,7.0,6.4,11.6
0.750,6.8,7.5,6.4,12.0
0.775,6.8,7.5,6.4,12.0
0.800,6.8,7.5,6.4,12.0
0.825,7.3,7.1,6.2,11.9
0.850,7.3,7.1,6.2,11.9
0.875,7.3,7.1,6.2,11.9
0.900,6.8,7.3,6.3,11.8
0.925,6.8,7.3,6.3,11.8
0.950,6.8,7.3,6.3,11.8
0.975,7.1,6.3,6.3,11.4
1.000,7.1,6.3,6.3,11.4
1.025,7.1,6.3,6.3,11.4
1.050,7.1,6.3,6.3,11.4
1.075,7.2,5.6,6.4,11.1
1.100,7.2,5.6,6.4,11.1
1.125,7.2,5.6,6.4,11.1
1.150,7.2,5.6,6.4,11.1
1.175,6.8,5.5,6.0,10.6
1.200,6.8,5.5,6.0,10.6
1.225,6.8,5.5,6.0,10.6
1.250,6.8,5.5,6.0,10.6
1.275,7.1,5.6,6.3,11.0
1.300,7.1,5.6,6.3,11.0
1.325,7.1,5.6,6.3,11.0
1.350,6.8,6.5,6.0,11.2
1.375,6.8,6.5,6.0,11.2
1.400,6.8,6.5,6.0,11.2
1.425,6.8,6.5,6.0,11.2
1.450,6.9,7.2,6.2,11.8
1.475,6.9,7.2,6.2,11.8
1.500,6.9,7.2,6.2,11.8
1.525,6.9,7.2,6.2,11.8
1.550,6.9,7.4,5.9,11.7
1.575,6.9,7.4,5.9,11.7
1.600,6.9,7.4,5.9,11.7
1.625,6.9,7.4,5.9,11.7
1.650,6.8,7.0,6.1,11.5
1.675,6.8,7.0,6.1,11.5
1.700,6.8,7.0,6.1,11.5
1.725,6.9,6.3,5.9,11.1
1.750,6.9,6.3,5.9,11.1
1.775,6.9,6.3,5.9,11.1
1.800,6.9,6.3,5.9,11.1
1.825,6.8,5.8,6.1,10.8
1.850,6.8,5.8,6.1,10.8
1.875,6.8,5.8,6.1,10.8
1.900,6.8,5.8,6.1,10.8
1.925,6.8,5.5,6.2,10.7
1.950,6.8,5.5,6.2,10.7
1.975,6.8,5.8,6.1,10.8
2.000,6.8,5.8,6.1,10.8
2.025,6.8,5.8,6.1,10.8
2.050,6.8,5.8,6.1,10.8
2.075,6.8,6.4,6.3,11.3
2.100,6.8,6.4,6.3,11.3
2.125,6.8,6.4,6.3,11.3
2.150,6.8,6.4,6.3,11.3
2.175,6.9,7.0,6.2,11.6
2.200,6.9,7.0,6.2,11.6
2.225,6.9,7.0,6.2,11.6
2.250,6.9,7.0,6.2,11.6
2.275,6.9,7.1,6.2,11.7
2.300,6.8,7.3,6.4,11.9
2.325,6.8,7.3,6.4,11.9
2.350,6.8,7.3,6.4,11.9
2.375,6.8,7.3,6.4,11.9
2.400,6.9,6.7,6.3,11.5
2.425,6.9,6.7,6.3,11.5
2.450,6.9,6.7,6.3,11.5
2.475,6.9,6.7,6.3,11.5
2.500,6.9,6.5,6.3,11.4
2.525,6.9,5.6,6.3,10.9
2.550,6.9,5.6,6.3,10.9
2.575,6.9,5.6,6.3,10.9
2.600,6.9,5.6,6.3,10.9
2.625,7.0,5.5,6.3,10.9
2.650,7.0,5.5,6.3,10.9
2.675,7.0,5.5,6.3,10.9
2.700,7.0,5.5,6.3,10.9
2.725,6.8,5.7,6.3,10.9
2.750,6.8,5.7,6.3,10.9
2.775,6.8,5.7,6.3,10.9
2.800,6.9,6.2,6.2,11.1
